Transaction_ID,Transaction_Date,Transaction_Time,Customer_ID,Customer_Name,Customer_Email,Customer_Age_Group,Customer_Gender,Customer_Type,Lifetime_Orders,Shipping_State,Shipping_State_Name,Shipping_City,Shipping_Zip,Product_SKU,Product_Name,Product_Category,Product_Brand,Product_Rating,Product_Reviews,Quantity,Original_Price,Discount_Percent,Unit_Price,Subtotal,Tax_Rate_Percent,Tax_Amount,Shipping_Cost,Total_Amount,Cost_Per_Unit,Total_Cost,Gross_Profit,Profit_Margin_Percent,Payment_Method,Payment_Status,Order_Status,Shipping_Method,Shipping_Carrier,Delivery_Days_Estimated,Delivery_Days_Actual,On_Time_Delivery,Device_Type,Browser,Operating_System,Traffic_Source,Campaign_Name,Coupon_Code,Is_Gift,Warehouse_Location,Return_Requested,Return_Reason,Customer_Rating,Review_Submitted,NPS_Score,Session_Duration_Seconds,Pages_Viewed,Cart_Abandonment_Count,Days_Since_Last_Purchase,Fiscal_Quarter,Fiscal_Year,Day_Of_Week,Is_Weekend,Hour_Of_Day
TXN-1000010,2023-03-27,21:09:53,C670062,Joseph Hughes,josephh91@icloud.com,55-64,Other,New,42,LA,Louisiana,San Francisco,70197,SKU71216,Fitbit Charge 6,Electronics,Fitbit,4.5,4571,3,159.95,0,159.95,479.85,6.35,30.49,0.0,510.34,109.02,327.06,183.28,35.91,American Express,Pending,Cancelled,2-Day Shipping,UPS,7,7,True,Tablet,Edge,macOS,Direct,,,False,Central DC,True,,4.0,True,,898,14,1,175,Q1,2023,Monday,False,23
TXN-1000011,2023-06-18,09:44:23,C613901,Jack Kim,jackk2@outlook.com,18-24,Female,New,30,MI,Michigan,Dallas,84920,SKU75591,"MacBook Pro 14"" M3 Pro",Computers,MacBook,4.3,3615,3,1999.0,15,1699.15,5097.45,5.31,270.6,0.0,5368.05,1220.91,3662.73,1705.32,31.77,Visa,Refunded,Delivered,Standard Shipping,FedEx,6,6,True,Mobile,Mobile App,macOS,Social Media,Bundle & Save,SAVE15,False,East Coast DC,False,,,True,7.0,940,10,1,169,Q2,2023,Sunday,True,13
TXN-1000012,2023-05-08,20:17:36,C988296,Rachel Hall,rachelhall29@outlook.com,65+,Other,VIP,13,MI,Michigan,Chicago,16291,SKU65369,Apple iPhone 15 Pro Max,Electronics,Apple,4.2,3798,2,1199.0,20,959.2,1918.4,5.08,97.49,0.0,2015.89,831.93,1663.86,352.03,17.46,Apple Pay,Pending,Cancelled,Free Shipping,FedEx,3,4,True,Desktop,Mobile App,Android,Organic Search,Holiday Gift Guide,SAVE20,False,Southern DC,False,,2.0,False,,1079,19,1,74,Q2,2023,Monday,False,18
TXN-1000013,2023-10-09,11:44:25,C557584,Dorothy Jones,dorothy_jones74@outlook.com,55-64,Male,New,38,SC,South Carolina,San Francisco,73762,SKU71763,"iPad Pro 12.9""",Electronics,iPad,4.2,4421,2,1099.0,10,989.1,1978.2,5.58,110.43,0.0,2088.63,569.32,1138.64,949.99,45.48,Google Pay,Completed,Shipped,Next Day,FedEx,6,3,True,Mobile,Mobile App,Android,Direct,,SAVE10,False,East Coast DC,False,,,False,,321,3,0,4,Q4,2023,Monday,False,10
TXN-1000014,2024-01-01,08:52:05,C264681,George Flores,george_flores92@protonmail.com,35-44,Female,New,34,PA,Pennsylvania,Phoenix,89933,SKU68347,Patagonia Better Sweater,Fashion,Patagonia,4.2,4882,1,139.0,15,118.15,118.15,9.42,11.13,0.0,129.28,93.62,93.62,35.66,27.58,Google Pay,Completed,Returned,Standard Shipping,USPS,6,8,True,Desktop,Safari,Windows,Referral,,SAVE15,False,Central DC,False,,,False,9.0,1035,4,0,142,Q1,2024,Monday,False,20
TXN-1000015,2023-03-09,21:10:54,C575496,Robert Flores,robertflores18@yahoo.com,35-44,Male,New,13,CO,Colorado,San Diego,27709,SKU35315,Oakley Holbrook,Fashion,Oakley,4.8,4131,1,177.0,0,177.0,177.0,7.06,12.49,0.0,189.49,106.62,106.62,82.87,43.73,Klarna,Completed,Delivered,Free Shipping,Amazon Logistics,2,7,True,Tablet,Edge,Windows,Direct,,,False,Central DC,False,,4.0,False,9.0,144,15,0,86,Q1,2023,Thursday,False,11
TXN-1000016,2023-10-12,06:14:24,C182552,Justin Wilson,justinw16@protonmail.com,65+,Other,VIP,14,MN,Minnesota,Jacksonville,41901,SKU14797,Titleist Pro V1 Golf Balls,Sports & Outdoors,Titleist,4.9,2777,3,54.99,5,52.24,156.72,9.99,15.66,0.0,172.38,27.62,82.86,89.52,51.93,Klarna,Pending,Cancelled,2-Day Shipping,FedEx,5,4,True,Desktop,Chrome,Windows,Social Media,,SAVE5,False,Central DC,False,,,False,,765,15,3,71,Q4,2023,Thursday,False,14
TXN-1000017,2023-02-04,15:28:07,C425779,Ronald Ramirez,ronaldramirez82@yahoo.com,25-34,Other,Returning,31,LA,Louisiana,Columbus,84070,SKU86408,Bose QuietComfort Ultra,Electronics,Bose,4.5,4848,3,429.0,0,429.0,1287.0,6.86,88.34,0.0,1375.34,216.19,648.57,726.77,52.84,Klarna,Completed,Processing,Free Shipping,FedEx,5,3,False,Desktop,Mobile App,Android,Paid Search,Spring Collection Launch,,False,East Coast DC,False,,3.0,True,,302,7,3,91,Q1,2023,Saturday,True,13
TXN-1000018,2023-09-18,09:21:07,C810352,Michael Mendoza,michaelm46@hotmail.com,25-34,Female,VIP,24,IL,Illinois,Jacksonville,43589,SKU63941,Michael Kors Crossbody,Fashion,Michael,4.1,2115,3,298.0,10,268.2,804.6,8.8,70.81,0.0,875.41,191.33,573.99,301.42,34.43,Google Pay,Completed,Cancelled,2-Day Shipping,DHL,3,3,True,Desktop,Mobile App,Android,Organic Search,,SAVE10,False,Southern DC,False,,,True,,278,17,2,93,Q3,2023,Monday,False,6
TXN-1000019,2023-05-15,22:24:11,C288401,Raymond Morris,raymond_morris45@icloud.com,45-54,Male,Returning,43,LA,Louisiana,Boston,32215,SKU11205,Oakley Holbrook,Fashion,Oakley,4.1,3249,1,177.0,10,159.3,159.3,7.14,11.37,0.0,170.67,97.24,97.24,73.43,43.02,Klarna,Pending,Returned,Next Day,UPS,4,7,True,Tablet,Safari,Windows,Organic Search,Refer a Friend Bonus,SAVE10,False,East Coast DC,True,,1.0,True,,714,6,2,107,Q2,2023,Monday,False,18
TXN-1000020,2023-03-02,08:30:32,C760222,Christine Ruiz,christiner14@hotmail.com,35-44,Female,Returning,16,NJ,New Jersey,Philadelphia,46047,SKU19074,Bose QuietComfort Ultra,Electronics,Bose,4.6,4785,3,429.0,0,429.0,1287.0,6.79,87.45,0.0,1374.45,295.95,887.85,486.6,35.4,Apple Pay,Pending,Delivered,2-Day Shipping,DHL,6,7,True,Mobile,Edge,macOS,Organic Search,Tech Week Promotion,,True,Central DC,True,,2.0,False,,916,13,0,36,Q1,2023,Thursday,False,14
TXN-1000021,2023-09-27,07:10:57,C862819,Christopher Cooper,christopherc50@outlook.com,35-44,Female,New,43,WA,Washington,San Antonio,92404,SKU60121,KitchenAid Artisan Mixer,Home & Kitchen,KitchenAid,4.8,2625,1,449.99,10,404.99,404.99,9.93,40.2,0.0,445.19,262.67,262.67,182.52,41.0,Mastercard,Completed,Processing,Standard Shipping,DHL,3,3,False,Tablet,Edge,macOS,Social Media,,SAVE10,False,Southern DC,True,,,False,,454,10,1,14,Q3,2023,Wednesday,False,12
TXN-1000022,2023-10-07,17:03:10,C695902,Anthony Roberts,anthony_roberts1@hotmail.com,35-44,Other,VIP,25,CA,California,Charlotte,71090,SKU75598,Bose QuietComfort Ultra,Electronics,Bose,3.8,4527,2,429.0,15,364.65,729.3,9.68,70.62,0.0,799.92,226.95,453.9,346.02,43.26,Klarna,Refunded,Cancelled,2-Day Shipping,FedEx,6,6,True,Mobile,Mobile App,iOS,Email,,SAVE15,True,West Coast DC,False,,2.0,False,0.0,1073,19,0,101,Q4,2023,Saturday,True,15
TXN-1000023,2023-04-20,18:22:49,C221837,Catherine Murphy,catherine_murphy18@outlook.com,25-34,Male,New,50,NC,North Carolina,Philadelphia,15259,SKU41453,Bose QuietComfort Ultra,Electronics,Bose,5.0,879,1,429.0,20,343.2,343.2,6.03,20.69,0.0,363.89,295.87,295.87,68.02,18.69,Mastercard,Completed,Delivered,Standard Shipping,USPS,4,3,True,Mobile,Edge,Android,Paid Search,,SAVE20,False,East Coast DC,False,,2.0,True,0.0,823,9,2,87,Q2,2023,Thursday,False,18
TXN-1000024,2023-04-08,08:00:32,C522985,Robert Kelly,robert.kelly67@icloud.com,65+,Male,New,16,NJ,New Jersey,Fort Worth,81306,SKU65167,Ninja Foodi 14-in-1,Home & Kitchen,Ninja,4.1,2556,3,229.99,0,229.99,689.97,5.35,36.9,0.0,726.87,126.95,380.85,346.02,47.6,American Express,Pending,Delivered,Next Day,Amazon Logistics,2,10,False,Desktop,Edge,iOS,Organic Search,First Purchase Discount,,False,Southern DC,True,,2.0,False,,163,4,0,44,Q2,2023,Saturday,True,16
TXN-1000025,2023-05-04,09:03:30,C517359,Jennifer Walker,jennifer.walker34@outlook.com,45-54,Female,New,9,MN,Minnesota,New York,44521,SKU10673,Ninja Foodi 14-in-1,Home & Kitchen,Ninja,4.2,2120,3,229.99,10,206.99,620.97,5.71,35.46,0.0,656.43,158.36,475.08,181.35,27.63,Apple Pay,Completed,Delivered,Free Shipping,USPS,3,4,False,Mobile,Mobile App,iOS,Referral,,SAVE10,False,Southern DC,False,,3.0,False,,392,14,3,51,Q2,2023,Thursday,False,18
TXN-1000026,2023-03-19,06:30:01,C540101,Rebecca Harris,rharris63@outlook.com,65+,Other,Returning,5,AL,Alabama,San Antonio,37713,SKU74336,Oakley Holbrook,Fashion,Oakley,4.8,3065,2,177.0,0,177.0,354.0,8.26,29.25,0.0,383.25,101.27,202.54,180.71,47.15,American Express,Refunded,Shipped,Free Shipping,Amazon Logistics,4,7,True,Tablet,Mobile App,Android,Referral,,,False,Southern DC,False,,3.0,False,1.0,1183,6,0,84,Q1,2023,Sunday,True,15
TXN-1000027,2023-03-18,19:56:08,C576646,Jacob Kim,jacobkim64@icloud.com,55-64,Female,New,48,OH,Ohio,San Antonio,67801,SKU69841,Vitamix A3500,Home & Kitchen,Vitamix,4.9,736,2,649.95,15,552.46,1104.92,9.45,104.41,0.0,1209.33,390.46,780.92,428.41,35.43,Mastercard,Completed,Returned,Express Shipping,UPS,6,5,False,Desktop,Edge,iOS,Organic Search,Spring Collection Launch,SAVE15,False,East Coast DC,False,,3.0,False,,255,14,3,17,Q1,2023,Saturday,True,15
TXN-1000028,2023-06-22,23:48:02,C744203,Scott Rodriguez,srodriguez76@hotmail.com,45-54,Female,VIP,21,LA,Louisiana,Jacksonville,80477,SKU81387,Levi's 501 Original Jeans,Fashion,Levi's,4.1,772,3,69.5,0,69.5,208.5,5.48,11.43,0.0,219.93,34.94,104.82,115.11,52.34,Klarna,Completed,Delivered,Next Day,FedEx,6,4,True,Tablet,Mobile App,macOS,Referral,Early Bird Special,,True,East Coast DC,False,,1.0,False,5.0,711,7,3,44,Q2,2023,Thursday,False,22
TXN-1000029,2023-05-08,19:58:05,C904515,Sandra Sanchez,sandra.sanchez2@gmail.com,25-34,Female,Returning,6,PA,Pennsylvania,New York,68139,SKU85970,Peloton Bike+,Sports & Outdoors,Peloton,4.2,980,3,2495.0,5,2370.25,7110.75,6.87,488.16,0.0,7598.91,1609.71,4829.13,2769.78,36.45,Visa,Completed,Processing,Next Day,UPS,6,10,True,Mobile,Chrome,macOS,Email,,SAVE5,False,Central DC,False,,1.0,True,,722,3,3,21,Q2,2023,Monday,False,8
TXN-1000030,2023-03-15,17:56:46,C698455,Katherine Torres,katherinet62@icloud.com,45-54,Male,New,1,NC,North Carolina,Austin,94571,SKU95950,Coach Leather Tote,Fashion,Coach,3.5,4544,2,395.0,0,395.0,790.0,9.18,72.53,0.0,862.53,258.72,517.44,345.09,40.01,PayPal,Completed,Delivered,Standard Shipping,UPS,2,7,True,Mobile,Chrome,iOS,Referral,Flash Sale Friday,,False,West Coast DC,False,,1.0,False,4.0,866,14,2,29,Q1,2023,Wednesday,False,14
TXN-1000031,2023-09-21,22:23:23,C869738,Linda Parker,linda.parker44@protonmail.com,55-64,Other,Returning,35,TN,Tennessee,Houston,18312,SKU42258,Microsoft Surface Laptop 5,Computers,Microsoft,4.7,292,3,999.0,5,949.05,2847.15,6.19,176.15,0.0,3023.3,609.44,1828.32,1194.98,39.53,PayPal,Refunded,Delivered,Free Shipping,Amazon Logistics,6,7,False,Desktop,Firefox,macOS,Social Media,,SAVE5,False,Southern DC,False,,4.0,False,1.0,326,3,3,179,Q3,2023,Thursday,False,18
TXN-1000032,2023-06-22,10:34:19,C259434,Scott Thompson,scottt15@protonmail.com,65+,Other,Returning,18,SC,South Carolina,Dallas,40181,SKU19161,The North Face Puffer,Fashion,The,4.1,4187,2,229.0,0,229.0,458.0,7.32,33.52,0.0,491.52,134.82,269.64,221.88,45.14,Visa,Completed,Delivered,Free Shipping,DHL,5,5,True,Tablet,Firefox,Windows,Paid Search,,,False,Southern DC,False,,4.0,False,5.0,141,4,2,110,Q2,2023,Thursday,False,6
TXN-1000033,2023-01-31,14:58:15,C362204,Helen Carter,helen_carter91@hotmail.com,55-64,Other,Returning,21,WI,Wisconsin,Miami,40935,SKU67628,Ray-Ban Aviator Classic,Fashion,Ray-Ban,4.3,4505,2,163.0,10,146.7,293.4,5.62,16.5,0.0,309.9,111.13,222.26,87.64,28.28,PayPal,Completed,Processing,2-Day Shipping,DHL,2,8,True,Tablet,Edge,macOS,Direct,Summer Sale 2024,SAVE10,False,Southern DC,False,,4.0,False,,322,3,0,28,Q1,2023,Tuesday,False,18
TXN-1000034,2023-03-16,14:31:34,C582250,Mark Rodriguez,markr55@gmail.com,25-34,Female,VIP,16,NY,New York,New York,44144,SKU10858,Ray-Ban Aviator Classic,Fashion,Ray-Ban,4.4,3142,3,163.0,10,146.7,440.1,5.14,22.61,0.0,462.71,83.23,249.69,213.02,46.04,PayPal,Refunded,Processing,2-Day Shipping,UPS,4,2,True,Desktop,Mobile App,macOS,Organic Search,,SAVE10,True,West Coast DC,False,,5.0,False,,305,17,1,4,Q1,2023,Thursday,False,18
TXN-1000035,2023-10-26,16:31:20,C391376,Paul Rivera,paulr86@protonmail.com,55-64,Female,Returning,1,VA,Virginia,Austin,12654,SKU73021,"iPad Pro 12.9""",Electronics,iPad,4.4,1999,3,1099.0,0,1099.0,3297.0,6.94,228.67,0.0,3525.67,648.83,1946.49,1579.18,44.79,Apple Pay,Completed,Cancelled,Free Shipping,Amazon Logistics,7,8,True,Mobile,Firefox,iOS,Social Media,Limited Time Offer,,False,West Coast DC,True,,1.0,False,,913,3,2,116,Q4,2023,Thursday,False,15
TXN-1000036,2023-12-16,08:50:46,C830347,Jonathan Lee,jonathanlee95@gmail.com,25-34,Male,Returning,44,FL,Florida,Miami,28160,SKU29065,Fitbit Charge 6,Electronics,Fitbit,4.9,3534,2,159.95,0,159.95,319.9,9.59,30.67,0.0,350.57,111.62,223.24,127.33,36.32,Visa,Completed,Cancelled,Express Shipping,DHL,5,4,False,Mobile,Edge,Android,Paid Search,,,False,Central DC,False,,5.0,False,,490,6,3,130,Q4,2023,Saturday,True,19
TXN-1000037,2023-11-06,11:42:42,C944595,Rachel Richardson,rachelrichardson68@protonmail.com,55-64,Other,Returning,28,NC,North Carolina,San Antonio,85460,SKU78802,"MacBook Pro 14"" M3 Pro",Computers,MacBook,3.6,2223,1,1999.0,0,1999.0,1999.0,8.55,170.89,0.0,2169.89,1223.8,1223.8,946.09,43.6,Visa,Completed,Processing,Standard Shipping,USPS,4,10,True,Mobile,Safari,Windows,Direct,,,False,Central DC,False,,,False,9.0,69,5,2,71,Q4,2023,Monday,False,22
TXN-1000038,2023-12-26,17:27:03,C168886,Donna Brown,dbrown78@icloud.com,45-54,Male,New,50,CO,Colorado,Las Vegas,27889,SKU78908,NordicTrack Commercial 1750,Sports & Outdoors,NordicTrack,4.4,2926,2,1799.0,0,1799.0,3598.0,9.19,330.72,0.0,3928.72,1207.74,2415.48,1513.24,38.52,Visa,Completed,Cancelled,Express Shipping,UPS,3,5,True,Tablet,Mobile App,iOS,Social Media,Flash Sale Friday,,True,East Coast DC,True,,3.0,False,,197,8,3,86,Q4,2023,Tuesday,False,7
TXN-1000039,2023-04-03,17:03:44,C266660,Dorothy Ortiz,dorothy_ortiz20@protonmail.com,18-24,Other,New,42,NC,North Carolina,Fort Worth,57594,SKU37196,Apple Watch Series 9,Electronics,Apple,3.6,2914,2,399.0,0,399.0,798.0,6.66,53.17,0.0,851.17,276.27,552.54,298.63,35.08,Klarna,Completed,Shipped,2-Day Shipping,UPS,4,5,True,Mobile,Edge,Android,Paid Search,,,True,West Coast DC,False,,4.0,True,,839,19,3,47,Q2,2023,Monday,False,12
TXN-1000040,2023-07-18,08:08:02,C366274,Karen Rivera,karenrivera63@outlook.com,25-34,Male,Returning,6,PA,Pennsylvania,Las Vegas,50940,SKU59217,Coach Leather Tote,Fashion,Coach,3.5,1427,3,395.0,15,335.75,1007.25,5.27,53.12,0.0,1060.37,252.98,758.94,301.43,28.43,Google Pay,Completed,Delivered,Next Day,DHL,2,2,False,Mobile,Mobile App,iOS,Email,,SAVE15,True,Southern DC,False,,3.0,False,,831,18,2,18,Q3,2023,Tuesday,False,7
TXN-1000041,2023-02-07,14:55:16,C975398,Matthew Lee,matthewlee69@icloud.com,45-54,Other,Returning,23,WI,Wisconsin,Charlotte,79264,SKU17306,Microsoft Surface Laptop 5,Computers,Microsoft,3.7,998,3,999.0,5,949.05,2847.15,9.3,264.79,0.0,3111.94,538.24,1614.72,1497.22,48.11,American Express,Completed,Returned,2-Day Shipping,Amazon Logistics,3,8,False,Tablet,Chrome,Android,Paid Search,Customer Appreciation Day,SAVE5,False,West Coast DC,True,,4.0,False,,636,11,1,13,Q1,2023,Tuesday,False,19
TXN-1000042,2023-01-26,11:26:50,C673530,Matthew Wilson,matthew_wilson68@gmail.com,45-54,Male,VIP,11,MI,Michigan,Jacksonville,15797,SKU18699,The North Face Puffer,Fashion,The,4.3,880,3,229.0,5,217.55,652.65,8.25,53.84,0.0,706.49,141.07,423.21,283.28,40.1,Mastercard,Completed,Returned,Free Shipping,Amazon Logistics,3,3,True,Desktop,Edge,macOS,Social Media,Refer a Friend Bonus,SAVE5,False,Central DC,False,,2.0,True,3.0,82,10,0,139,Q1,2023,Thursday,False,6
TXN-1000043,2023-12-20,16:14:14,C765634,Brian Jimenez,brian_jimenez23@hotmail.com,65+,Male,Returning,36,LA,Louisiana,Seattle,19065,SKU40870,Fitbit Charge 6,Electronics,Fitbit,3.6,3541,1,159.95,15,135.96,135.96,9.7,13.19,0.0,149.15,92.79,92.79,56.36,37.79,Visa,Refunded,Shipped,Standard Shipping,UPS,3,7,True,Tablet,Chrome,Windows,Referral,,SAVE15,False,East Coast DC,False,,1.0,False,6.0,171,16,3,45,Q4,2023,Wednesday,False,21
TXN-1000044,2023-02-06,10:54:41,C236944,Deborah Jimenez,deborah.jimenez69@icloud.com,25-34,Female,VIP,15,CA,California,San Francisco,92218,SKU48421,Google Pixel 8 Pro,Electronics,Google,3.6,3849,3,999.0,0,999.0,2997.0,7.84,235.0,0.0,3232.0,666.57,1999.71,1232.29,38.13,Klarna,Completed,Delivered,Next Day,FedEx,3,8,False,Mobile,Edge,Windows,Organic Search,Back to School,,False,Southern DC,False,,,True,,913,5,0,156,Q1,2023,Monday,False,10
TXN-1000045,2023-09-12,18:17:49,C747043,Rachel Flores,rachel_flores78@icloud.com,35-44,Male,Returning,4,WI,Wisconsin,Denver,49169,SKU25047,Microsoft Surface Pro 9,Electronics,Microsoft,4.3,2465,1,999.0,15,849.15,849.15,8.34,70.82,0.0,919.97,658.39,658.39,261.58,28.43,Apple Pay,Refunded,Delivered,Next Day,USPS,6,2,True,Mobile,Safari,iOS,Organic Search,End of Season Clearance,SAVE15,False,West Coast DC,False,,,False,9.0,1081,12,3,73,Q3,2023,Tuesday,False,11
TXN-1000046,2023-03-05,13:18:40,C752740,Shirley White,shirleywhite63@protonmail.com,65+,Female,VIP,21,MA,Massachusetts,San Diego,46175,SKU34806,Ninja Foodi 14-in-1,Home & Kitchen,Ninja,4.5,1836,3,229.99,10,206.99,620.97,8.57,53.22,0.0,674.19,122.77,368.31,305.88,45.37,Google Pay,Pending,Delivered,Standard Shipping,UPS,3,5,False,Desktop,Safari,macOS,Social Media,Tech Week Promotion,SAVE10,False,West Coast DC,False,,3.0,False,6.0,1079,5,2,100,Q1,2023,Sunday,True,16
TXN-1000047,2023-06-07,10:24:51,C126435,Charles Mitchell,charles.mitchell44@hotmail.com,25-34,Other,New,32,MN,Minnesota,New York,63141,SKU76490,Hydro Flask 32oz,Sports & Outdoors,Hydro,3.6,1509,3,44.95,0,44.95,134.85,7.23,9.75,0.0,144.6,30.48,91.44,53.16,36.76,American Express,Completed,Cancelled,2-Day Shipping,FedEx,7,4,True,Tablet,Firefox,Android,Email,,,True,West Coast DC,False,,3.0,True,,1199,19,1,140,Q2,2023,Wednesday,False,12
